address,amount,id
0x8b1CFE717a29E712A1a131d8D26d6FF868542470,8,1
0xee104c82EcBAf6Ff75E27f3c646e0b8c80819263,15,2
0xF71536308013E783571cB30c2fB79F3322866e1a,31,3
0x0920194535bc06802DfDE92B23C8A52E3B541BE9,9,4
0x9fd00C523F36dC6EB321dbA07F8DfbCeb33616cc,32,5
0xe2c8151008E67d271aEE136860FF05ea6b96e96f,62,6
0x58440c3Ea57bF5e3695ccef85a43BffECBC6C9B8,40,7
0x0D3DbEfd4DB155Fc1FFf955A865e2e44Bb676E1C,45,8
0x4597e5054a8E9a5dA82f0D5594F327F1e992993e,89,9
0x05C169A9aDbd6574Ae63e0cc5ee7810E1179A25A,26,10
0x684469F54a922ca4c4d32135ADbB89F47ca26da9,48,11
0x75Ba0C3BD9264aa4dE61bf334C059311c4723c8a,81,12
0xCd7fa68FBDc330CB0dd67C8492De460852f2cC8e,216,13
0x301f8D22eF07589B21f51B232560F62b4Dd2216e,211,14
0xB332330cD7d9a4acfcC8674727a4e6A81242D565,140,15
0x3D3EE932DAA9522ab6Ee2F9446F2fbead83aB616,263,16
0xDE81407a5fA33a8ec7A858E64F793D912EFe3bD9,25,17
0x6A4D90C4dDAd7a91E41a00e9012CfB37F7639F51,283,18
0x12D3b048E34Ba8A5C4D1dF880222F79c5a05A735,84,19
0xE0386731a43A1A940e600e2e4abDbf337f2a703E,161,20
0xdEB99abF769774af1Fa59D068920987b339e91c3,258,21
0x5Be6464661d463d584F0E0870347839Ea62413C0,77,22
0x05dA5A47042fe2659487b26807B27Ea5D3e6b6Bd,298,23
0xCd619A7932bD12c7959D21822239ee7D478A199b,29,24
0xb5a1C8c2E8c74fF3fA9eb5e9D67c7a915bdaF746,5,25
0xfe0F4959672456EF753e82CF3A99cDCec25584fc,383,26
0x79Ccd6EE967cFDc4f8d3fF76029050e8F9b82dFf,330,27
0x170327740ba88420a0561934beBEC691cB0B720c,336,28
0x9a8c0B23dcc5B1b8988433DDFba0fE74c25a58bC,157,29
0xA0352f2449E7bc354b2D37011e07Dc4BB5E5B873,12,30
0xF5B4611b7977f2ad829Cc3Ce3b8D5D73F86bc163,259,31
0x2227aB8BA39546B582d6F0103e8F8e4DBCF0132A,484,32
0x0745cD43A7bf7f08bB0a2e79D354e5bD7BE106af,555,33
0xda4aaE8FA89e3e57973fa815F804054e08a53CA2,50,34
0xFA30D4e143efceEdacfe546a213bd44553C13A1E,312,35
0x3f54A2B4A585beaFC184730809967D8ae678A15F,383,36
0x711E0AD55a47F396Ec3847dA25823C4661bf66Da,343,37
0x66F279ae4B88764543B7c069feD3eCdF6C346AAA,638,38
0x23F81Cc7256A549448a48264de7d558052389569,335,39
0xC0f8000955837035a5156B38c25880A26920a8A6,124,40
0x11Fd570F2d3904D3deB888e50D554033C7ED87cc,321,41
0x2EF4dd3f23430447dc0065C0Cfe05DeE471F64B6,223,42
0xC5C53b64b2941aF898A54De3aE3313c76451e3d0,689,43
0xCBC86FD321C8c93881f6192F8Feda844e5F4DD1D,287,44
0x68E0DbA10a5277E6Fb3BF229c5ecaB21F4842cD8,734,45
0x940f79D0eB39694BC1a96ADE2629D1831E4bAccC,368,46
0x323037d059729440Bd248A2d8adF48b79F4Bd411,416,47
0x96C2e02614497d1Df809e0569f4ded61858A97E5,584,48
0x183C4098fC84df0FaF9f30b39Ed19A326CBFC601,186,49
0x98015Eea60d41175a6ACaC179204CFBF121a1Ec0,235,50
0x6Cd0F606cFcEDAadea7Cc52C30632e442D9e8a49,775,51
0xD7c0759f76aF11E941f0b6Dc324655b6163Bc0bb,551,52
0x667E7e7d3A7219d15E31383Fd32A1E8a2ADf4dBc,765,53
0xA24ac73a67089498Ce6EbBcD8BD85b8f1af6A3c6,823,54
0x7D06608C7D144C614804573d94dA61f4d6F4Cc05,160,55
0x65896331365468d743994086AB0CE8dAF1fA00B7,720,56
